id,name,category,subcategory,color,color_family,undertone_match,fit,tags,gender,price,brand,url,image_url
tay_7579183775821,The Arlo Sweater Polo in Burgundy Texture Knit,tops,Knits,burgundy,red,warm,slim,prep,unisex,148.0,Taylor Stitch,https://www.taylorstitch.com/products/arlo-sweater-polo-in-burgundy-texture-knit-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/The_Arlo_Sweater_Polo_in_Burgundy_Texture_Knit_1.jpg?v=1777581045
tay_7579181056077,The Short Sleeve Mechanic Shirt in Khaki Ripstop,tops,Wovens,khaki,brown,warm,slim,everyday,unisex,138.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-mechanic-shirt-in-khaki-ripstop-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_short-sleeve-mechanic-shirt-in-khaki-ripstop_portrait_001.jpg?v=1777047804
tay_7579180630093,The Hawthorne Shirt in Indigo Patchwork,tops,Wovens,indigo,blue,cool,slim,office,unisex,135.0,Taylor Stitch,https://www.taylorstitch.com/products/hawthorne-shirt-in-indigo-patchwork-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_TheHawthorneShirt-IndigoPatchwork_portrait_001.jpg?v=1776873667
tay_7579183611981,The Short Sleeve California in Heather Oat Double Knit,tops,Knits,gray,gray,neutral,slim,everyday,womens,128.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-california-in-heather-oat-double-knit-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_short-sleeve-california-in-heather-oat_portrait_001.jpg?v=1776809319
tay_7579183644749,The Short Sleeve California in Heather Driftwood Double Knit,tops,Knits,gray,gray,neutral,slim,everyday,womens,128.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-california-in-heather-driftwood-double-knit-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_SSCalifornia_Driftwood_portrait_001.jpg?v=1776718228
tay_7579182202957,The Breakwater Pant in Rinsed Indigo Hemp Denim,bottoms,Bottoms,indigo,blue,cool,slim,everyday,unisex,142.0,Taylor Stitch,https://www.taylorstitch.com/products/breakwater-pant-in-rinsed-indigo-hemp-denim-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-breakwater-pant-in-rinsed-indigo-hemp-denim_pdp_01.jpg?v=1776441432
tay_7579182530637,The Pleated Short in Organic Field Khaki Twill,bottoms,Bottoms,khaki,brown,warm,slim,everyday,unisex,138.0,Taylor Stitch,https://www.taylorstitch.com/products/pleated-short-in-organic-field-khaki-twill-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_pleated-short-in-organic-field-khaki_portrait_001.jpg?v=1776789722
tay_7579184300109,The Scout Short in Burnt Olive Ripstop,bottoms,Bottoms,olive,green,warm,slim,everyday,unisex,138.0,Taylor Stitch,https://www.taylorstitch.com/products/scout-short-in-burnt-olive-ripstop-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_scout-short-in-burnt-olive-ripstop_portrait_001.jpg?v=1776788463
tay_7579184332877,The Democratic Jean in Light Wash Hemp Denim,bottoms,Bottoms,dark-blue,blue,neutral,slim,vintage,unisex,178.0,Taylor Stitch,https://www.taylorstitch.com/products/democratic-jean-in-light-wash-hemp-denim-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-democratic-jean-in-light-wash-hemp-denim_pdp_01.jpg?v=1776716011
tay_7579183546445,The Canal Popover in Rinsed Indigo,tops,Knits,indigo,blue,cool,straight,everyday,unisex,168.0,Taylor Stitch,https://www.taylorstitch.com/products/canal-popover-in-rinsed-indigo-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-canal-popover-in-rinsed-indigo_pdp_01.jpg?v=1776707406
tay_7579182760013,The Airman Jacket in Organic Khaki Foundation Twill,outerwear,Outerwear,khaki,brown,warm,slim,everyday,unisex,238.0,Taylor Stitch,https://www.taylorstitch.com/products/airman-jacket-in-organic-khaki-foundation-twill-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-airman-jacket-in-organic-khaki-twill_pdp_01.jpg?v=1776705889
tay_7579183218765,The Dispatch Shirt in Smoked Olive Broken Twill,tops,Wovens,olive,green,warm,slim,everyday,unisex,148.0,Taylor Stitch,https://www.taylorstitch.com/products/dispatch-shirt-in-smoked-olive-broken-twill-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_DispatchShirt_Olive_portrait_001.jpg?v=1776877883
tay_7579183480909,The Rugby Shirt in Burnt Olive,tops,Knits,olive,green,warm,slim,everyday,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/rugby-shirt-in-burnt-olive-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_rugby-shirt-in-burnt-olive_portrait_001.jpg?v=1776812944
tay_7579182104653,The Breakwater Pant in Grey Marl Hemp,bottoms,Bottoms,gray,gray,neutral,slim,everyday,unisex,138.0,Taylor Stitch,https://www.taylorstitch.com/products/breakwater-pant-in-grey-marl-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-breakwater-pant-in-grey-marl_pdp_01.jpg?v=1776705209
tay_7579180892237,The Shore Shirt in Washed Indigo Twill,tops,Wovens,indigo,blue,cool,straight,everyday,unisex,148.0,Taylor Stitch,https://www.taylorstitch.com/products/shore-shirt-in-washed-indigo-twill-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-shore-shirt-in-washed-indigo-twill_pdp_01.jpg?v=1776720898
tay_7579181252685,The Pacific Polo in Rinsed Indigo Pique,tops,Knits,indigo,blue,cool,slim,prep,unisex,98.0,Taylor Stitch,https://www.taylorstitch.com/products/pacific-polo-in-rinsed-indigo-pique-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_PacificPolo_RinsedIndigo_portrait_001.jpg?v=1775847891
tay_7579181154381,The Pacific Polo in Washed Indigo Pique Stripe,tops,Knits,indigo,blue,cool,slim,"prep,vintage",unisex,98.0,Taylor Stitch,https://www.taylorstitch.com/products/pacific-polo-in-washed-indigo-pique-stripe-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_PacificPolo_WashedIndigo_portrait_001.jpg?v=1775594796
tay_7579181187149,The Pacific Polo in Black Indigo Pique Stripe,tops,Knits,black,neutral,neutral,slim,prep,unisex,98.0,Taylor Stitch,https://www.taylorstitch.com/products/pacific-polo-in-black-indigo-pique-stripe-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_PacificPolo_BlackIndigo_portrait_001.jpg?v=1775847462
tay_7579184136269,The Apres Short in Field Khaki Hemp,bottoms,Bottoms,khaki,brown,warm,slim,everyday,unisex,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-field-khaki-hemp-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-apres-short-in-field-khaki-hemp_pdp_01.jpg?v=1776715242
tay_7579184201805,The Apres Short in Burgundy Hemp,bottoms,Bottoms,burgundy,red,warm,slim,everyday,unisex,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-burgundy-hemp-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_ApresShort_BurgundyHemp_portrait_001.jpg?v=1776720044
tay_7579180793933,The Shore Shirt in Navy Lyocell,tops,Wovens,navy,blue,cool,straight,everyday,unisex,148.0,Taylor Stitch,https://www.taylorstitch.com/products/shore-shirt-in-navy-tencel-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_the-shore-shirt-in-navy-tencel_portrait_001.jpg?v=1776784300
tay_7579181318221,The Bywater Polo in Rinsed Indigo Knit Stripe,tops,Knits,indigo,blue,cool,straight,prep,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/bywater-polo-in-rinsed-indigo-knit-stripe-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_TheBywaterPolo-RinsedIndigoKnitStripe_portrait_001.jpg?v=1776701298
tay_7579181350989,The Bywater Polo in Burgundy Knit Stripe,tops,Knits,burgundy,red,warm,straight,prep,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/bywater-polo-in-burgundy-knit-stripe-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_TheBywaterPolo-BurgundyStripe_portrait_001.jpg?v=1776699906
tay_7579184857165,The Monterey Sweater Polo in Vintage White Crochet,tops,Knits,white,neutral,neutral,straight,"prep,vintage",unisex,148.0,Taylor Stitch,https://www.taylorstitch.com/products/monterey-sweater-polo-in-vintage-white-crochet-2606,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_TheMontereySweaterPolo-VintageWhiteCrochet_portrait_001.jpg?v=1776891821
tay_7579184005197,The Apres Short in Heather Oat Pincord,bottoms,Bottoms,gray,gray,neutral,slim,everyday,womens,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-heather-oat-pincord-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_Apres_Short_Heather_Oat_Pincord_portrait_001.jpg?v=1775838371
tay_7579184070733,The Apres Short in Heather Chili Pincord,bottoms,Bottoms,gray,gray,neutral,slim,everyday,womens,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-heather-chili-pincord-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_Apres_Short_Heather_Chili_Pincord_portrait_001.jpg?v=1775839428
tay_7579184103501,The Apres Short in Rinsed Indigo Pincord,bottoms,Bottoms,indigo,blue,cool,slim,everyday,unisex,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-rinsed-indigo-pincord-2605,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_Apres_Short_Heather_Rinsed_Pincord_portrait_001.jpg?v=1775842196
tay_7579180728397,The Short Sleeve Crew Shirt in Washed Indigo Chambray,tops,Wovens,indigo,blue,cool,slim,everyday,womens,138.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-crew-shirt-in-washed-indigo-chambray-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_TheShortSleeveCrew-WashedIndigoChambray_portrait_001.jpg?v=1775856340
tay_7355710013517,The Conrad Shirt in Faded Black Linen,tops,Wovens,black,neutral,neutral,straight,minimalist,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/conrad-shirt-in-faded-black-linen-2505,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q225_The_Conrad_Shirt-FadedBlackLinen_portrait_001.jpg?v=1775499170
tay_6886867238989,The Apres Short in Organic Aged Stone Foundation Twill,bottoms,Bottoms,stone,gray,neutral,slim,everyday,unisex,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-organic-aged-stone-foundation-twill-2402,https://cdn.shopify.com/s/files/1/0070/1922/files/q226_apres_short_organic_aged_stone_foundation_twill_01.jpg?v=1774633464
tay_7579180466253,The Hawthorne Shirt in Burnt Olive Floral Jacquard,tops,Wovens,olive,green,warm,slim,everyday,unisex,135.0,Taylor Stitch,https://www.taylorstitch.com/products/hawthorne-shirt-in-burnt-olive-floral-jacquard-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q226_HawthorneShirt_BurntOliveFloralJacquard_portrait_001.jpg?v=1774896043
tay_7523418243149,The Short Sleeve Surplus Shirt in Navy Reverse Sateen,tops,Wovens,navy,blue,cool,slim,minimalist,unisex,138.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-surplus-shirt-in-navy-reverse-sateen-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Short_Sleeve_Surplus_Shirt-DarkNavyReverseSateen_portrait_001.jpg?v=1772566725
tay_7579180138573,The Ryder Jacket in Burgundy Chipped Canvas,outerwear,Outerwear,burgundy,red,warm,slim,workwear,unisex,218.0,Taylor Stitch,https://www.taylorstitch.com/products/ryder-jacket-in-burgundy-chipped-canvas-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-ryder-jacket-in-burgundy-chipped-canvas_pdp_01.jpg?v=1774454270
tay_7579181908045,The Button Down Polo in Charcoal Herringbone,tops,Knits,charcoal,gray,neutral,straight,prep,womens,138.0,Taylor Stitch,https://www.taylorstitch.com/products/button-down-polo-in-charcoal-herringbone-2604,https://cdn.shopify.com/s/files/1/0070/1922/files/Q226_the-button-down-polo-in-charcoal-herringbone_pdp_01.jpg?v=1774366407
