id,name,category,subcategory,color,color_family,undertone_match,fit,tags,gender,price,brand,url,image_url,ai_tags
mia_15105802076528,"Shark Tooth Bungee Rope Necklace, Sterling Silver / Cobalt Blue",jewelry,Necklaces,silver,neutral,cool,n/a,everyday,unisex,145.0,Miansai,https://www.miansai.com/products/shark-tooth-bungee-necklace-sterling-silver-polished-cobalt-os-cobalt,https://cdn.shopify.com/s/files/1/1994/2941/files/103-1008_color_cobalt_01.jpg?v=1778686274,"everyday,minimalist"
mia_15105802010992,"Eternita Bungee Rope Necklace, Gold Vermeil / Cobalt Blue",jewelry,Necklaces,gold,yellow,warm,n/a,everyday,unisex,155.0,Miansai,https://www.miansai.com/products/eternita-bungee-necklace-gold-vermeil-wenamel-polished-cobalt-os-cobalt,https://cdn.shopify.com/s/files/1/1994/2941/files/103-1007_color_cobalt_01.jpg?v=1778686308,"everyday,minimalist"
mia_15105802043760,"Eternita Bungee Rope Necklace, Gold Vermeil / Off-White",jewelry,Necklaces,cream,warm-white,warm,n/a,everyday,unisex,155.0,Miansai,https://www.miansai.com/products/eternita-bungee-necklace-gold-vermeil-wenamel-polished-off-white-os-off-white,https://cdn.shopify.com/s/files/1/1994/2941/files/103-1007_color_offwhite_01.jpg?v=1778686293,"everyday,minimalist"
mia_15105801748848,"Screw Cuff Bungee Bracelet, Silver Tone / Black",jewelry,Bracelets,brown,brown,warm,n/a,everyday,unisex,75.0,Miansai,https://www.miansai.com/products/screw-cuff-bungee-bracelet-silver-tone-blackbrown,https://cdn.shopify.com/s/files/1/1994/2941/files/101-0804_color_blackbrown_01.jpg?v=1778535335,"everyday,minimalist"
mia_15108763091312,"Lowe Double Bead Bracelet, Sterling Silver / Teal",jewelry,Bracelets,silver,neutral,cool,n/a,"minimalist,bold,relaxed",unisex,75.0,Miansai,https://www.miansai.com/products/lowe-double-beaded-bracelet-sterling-silver-teal,https://cdn.shopify.com/s/files/1/1994/2941/files/101-0697_color_teal_01.jpg?v=1778528120,"everyday,minimalist"
mia_15105801716080,"Screw Cuff Bungee Bracelet, Silver Tone / Off-White",jewelry,Bracelets,cream,warm-white,warm,n/a,everyday,unisex,75.0,Miansai,https://www.miansai.com/products/screw-cuff-bungee-bracelet-silver-tone-off-white,https://cdn.shopify.com/s/files/1/1994/2941/files/101-0804_color_offwhite_01_eabf0f7d-bb21-429a-a8cb-0d1e8df4552a.jpg?v=1778254407,"everyday,minimalist"
mia_15105801683312,"Screw Cuff Bungee Bracelet, Silver Tone / Navy",jewelry,Bracelets,brown,brown,warm,n/a,everyday,unisex,75.0,Miansai,https://www.miansai.com/products/screw-cuff-bungee-bracelet-silver-tone-navybrown,https://cdn.shopify.com/s/files/1/1994/2941/files/101-0804_color_navybrown_01.jpg?v=1778211374,"everyday,minimalist"
mia_15105801650544,"Screw Cuff Bungee Bracelet, Gold Tone / Navy",jewelry,Bracelets,brown,brown,warm,n/a,everyday,unisex,80.0,Miansai,https://www.miansai.com/products/screw-cuff-bungee-bracelet-gold-tone-navybrown,https://cdn.shopify.com/s/files/1/1994/2941/files/101-0803_color_navybrown_01.jpg?v=1778211337,"everyday,minimalist"
mia_15099867726192,"Quad Chain Bracelet, Sterling Silver",jewelry,Bracelets,silver,neutral,cool,n/a,"minimalist,everyday",unisex,165.0,Miansai,https://www.miansai.com/products/quad-chain-bracelet-sterling-silver-polished-silver,https://cdn.shopify.com/s/files/1/1994/2941/files/101-0706_color_polishedsilver_01.jpg?v=1777484184,"everyday,minimalist"
mia_15092653818224,"Carolyn Ring Pendant Necklace, Gold Vermeil",jewelry,Necklaces,gold,yellow,warm,n/a,minimalist,unisex,195.0,Miansai,https://www.miansai.com/products/carolyn-ring-pendant-necklace-gold-vermeil-m,https://cdn.shopify.com/s/files/1/1994/2941/files/103-0999_color_polishedgold_01.jpg?v=1773783434,"everyday,minimalist"
